feature,mean_shap
ecg_rr_std_ms,1.185050851374322
ecg_amp_slope,0.4391809873548575
ecg_amp_std,0.3466630603728645
hr_std,0.2657802923896282
hr_mean,0.18380876876957947
pma_weeks,0.1686367428417293
ecg_rr_mean_ms,0.13773211786477219
hr_min,0.12575871799701452
pna_days,0.11316194530345543
ecg_rmssd_ms,0.10693632914484177
hr_hrv,0.09432544696756921
ecg_pnn50,0.09307494793202573
ecg_amp_mean,0.0690922361167233
ecg_amp_min,0.06507647384560497
hr_max,0.06490324425869377
ga_weeks,0.04806145325189932
hr_last,0.034481626631589386
hr_slope,0.020062639412557724
